"ana_silva@hotmail.com; Ana Silva",
"joao.oliveira@gmail.com; João Oliveira",
"maria_rodrigues@hotmail.com; Maria Rodrigues",
"pedro.almeida123@hotmail.com; Pedro Almeida",
"isabella.santos@gmail.com; Isabella Santos",
"lucas.martins@hotmail.com; Lucas Martins",
"julia_faria456@gmail.com; Júlia Faria",
"gabriel.gomes@hotmail.com; Gabriel Gomes",
"laura_pereira789@gmail.com; Laura Pereira",
"enzo.costa@hotmail.com; Enzo Costa",
"carolina_ferreira@hotmail.com; Carolina Ferreira",
"davi_azevedo@gmail.com; Davi Azevedo",
"sophia.machado@hotmail.com; Sophia Machado",
"miguel.barros789@gmail.com; Miguel Barros",
"alice_ramos@hotmail.com; Alice Ramos",
"guilherme_correia@gmail.com; Guilherme Correia",
"beatriz_nascimento123@hotmail.com; Beatriz Nascimento",
"gustavo.cardoso456@gmail.com; Gustavo Cardoso",
"manuela_melo@hotmail.com; Manuela Melo",
"rafaela.ferreira@gmail.com; Rafaela Ferreira",
"felipe_castro123@hotmail.com; Felipe Castro",
"emanuel_silveira@gmail.com; Emanuel Silveira",
"leticia.carvalho456@hotmail.com; Letícia Carvalho",
"diego_monteiro789@gmail.com; Diego Monteiro",
"lorena.azevedo@hotmail.com; Lorena Azevedo",
"caio.martins123@gmail.com; Caio Martins",
"isadora.rocha456@hotmail.com; Isadora Rocha",
"samuel_melo789@gmail.com; Samuel Melo",
"ana.jesus@hotmail.com; Ana Jesus",
"henrique_pereira123@gmail.com; Henrique Pereira",
"sophia.rodrigues456@hotmail.com; Sophia Rodrigues",
"marcelo.oliveira789@gmail.com; Marcelo Oliveira",
"marina_santos@hotmail.com; Marina Santos",
"luiz.gomes123@gmail.com; Luiz Gomes",
"larissa_faria456@hotmail.com; Larissa Faria",
"rafael.costa789@gmail.com; Rafael Costa",
"camila_ferreira@hotmail.com; Camila Ferreira",
"bruno.machado123@gmail.com; Bruno Machado",
"isabel.martins456@hotmail.com; Isabel Martins",
"felipe.cardoso789@gmail.com; Felipe Cardoso",
"leticia.nascimento@hotmail.com; Leticia Nascimento",
"lucas.barros123@gmail.com; Lucas Barros",
"amanda_ramos456@hotmail.com; Amanda Ramos",
"thiago_correia789@gmail.com; Thiago Correia",
"helena.melo@hotmail.com; Helena Melo",
"daniel.silveira123@gmail.com; Daniel Silveira",
"ana.monteiro456@hotmail.com; Ana Monteiro",
"pedro.jesus789@gmail.com; Pedro Jesus",
"isabella_pereira@hotmail.com; Isabella Pereira",
"caio.oliveira123@gmail.com; Caio Oliveira",
"gabriela_santos456@hotmail.com; Gabriela Santos",
"rafaela.rodrigues789@gmail.com; Rafael Rodrigues",
"larissa.almeida@hotmail.com; Larissa Almeida",
"bruno.ferreira123@gmail.com; Bruno Ferreira",
"leticia.martins456@hotmail.com; Leticia Martins",
"lucas.correia789@gmail.com; Lucas Correia",
"isabel.barros@hotmail.com; Isabel Barros",
"davi.machado123@gmail.com; Davi Machado",
"marina.nascimento456@hotmail.com; Marina Nascimento",
"gustavo.ramos789@gmail.com; Gustavo Ramos",
"camila_silva@hotmail.com; Camila Silva",
"henrique.gomes123@gmail.com; Henrique Gomes",
"mariana.faria456@hotmail.com; Mariana Faria",
"samuel.costa789@gmail.com; Samuel Costa",
"helena_monteiro@hotmail.com; Helena Monteiro",
"emanuel.azevedo123@gmail.com; Emanuel Azevedo",
"alice.oliveira456@gmail.com; Alice Oliveira",
"enzo_santos789@hotmail.com; Enzo Santos",
"bruna.martins@hotmail.com; Bruna Martins",
"pedro.correia123@gmail.com; Pedro Correia",
"laura_barros456@hotmail.com; Laura Barros",
"gabriel.rodrigues789@gmail.com; Gabriel Rodrigues",
"isabela.machado@hotmail.com; Isabela Machado",
"lucas.nascimento123@gmail.com; Lucas Nascimento",
"carolina.ramos456@gmail.com; Carolina Ramos",
"thiago.silva789@gmail.com; Thiago Silva",
"leticia.gomes123@gmail.com; Leticia Gomes",
"marcelo.faria456@gmail.com; Marcelo Faria",
"mariana.costa789@gmail.com; Mariana Costa",
"bruno.monteiro@hotmail.com; Bruno Monteiro",
"amanda.jesus123@gmail.com; Amanda Jesus",
"rafaela.ferreira456@gmail.com; Rafaela Ferreira",
"caio.azevedo789@gmail.com; Caio Azevedo",
"larissa.oliveira@hotmail.com; Larissa Oliveira",
"felipe.santos123@gmail.com; Felipe Santos",
"davi.rodrigues456@gmail.com; Davi Rodrigues",
"isadora.machado789@gmail.com; Isadora Machado",
"lucas.barros123@gmail.com; Lucas Barros",
"isabel.martins456@gmail.com; Isabel Martins",
"samuel.correia789@gmail.com; Samuel Correia",
"bruna.nascimento@hotmail.com; Bruna Nascimento",
"enzo.ramos123@gmail.com; Enzo Ramos",
"maria.silveira456@gmail.com; Maria Silveira",
"joao.monteiro789@gmail.com; Joao Monteiro",
"marina.santos123@gmail.com; Marina Santos",
"pedro.jesus456@gmail.com; Pedro Jesus",
"isabella.pereira789@gmail.com; Isabella Pereira",
"lucas.oliveira123@gmail.com; Lucas Oliveira",
"carolina.ferreira456@gmail.com; Carolina Ferreira",
"davi.costa789@gmail.com; Davi Costa",
